look here	kàn zhèli	看这里
open your book	bǎ shū dǎkāi	把书打开
come to the front	dào qiánmiàn lái	到前面来
return to your seat please	qǐng huí zuòwèi	请回座位
sit properly please	qǐng zuò hǎo	请坐好
please raise your hand	qǐng jǔ shoǔ	请举手
# put down your hand	bǎ shǒu fàngxià	把手放下
# a little louder	dà shēng diǎnr	大声点儿
# say it again	zài shuō yí cì	再说一次
# very good	hěn hǎo	很好
# extremely good	fēicháng hǎo	非常好
# Are you busy?	Nǐ máng ma?	你忙吗？
# Where are you going?	Shàng nǎr qù?	上哪儿去？
# How is everything?	Zěnmeyàng?	怎么样？
# Have you eaten?	Chīfàn le ma?	吃饭了吗？
# Goodbye, teacher	lǎoshī zàijiàn.	老师再见
# Hello, fellow classmates.	tóngxuémen hǎo	同学们好
# I am Lanlan.	wǒ shì Lánlán.	我是兰兰。
